INFO 2025-03-03 21:25:27,027 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:33:05,132 basehttp "GET /publications/detail/4/ HTTP/1.1" 200 13000
INFO 2025-03-03 21:33:06,672 basehttp "GET /publications/add/ HTTP/1.1" 200 33270
INFO 2025-03-03 21:33:07,722 basehttp "GET /publications/?status=1 HTTP/1.1" 200 35522
INFO 2025-03-03 21:33:08,215 basehttp "GET /publications/?status=2 HTTP/1.1" 200 32405
INFO 2025-03-03 21:33:08,578 basehttp "GET /publications/?status=3 HTTP/1.1" 200 34506
INFO 2025-03-03 21:33:08,987 basehttp "GET /publications/?status=4 HTTP/1.1" 200 36150
INFO 2025-03-03 21:33:09,796 basehttp "GET /decrees/ HTTP/1.1" 200 57480
INFO 2025-03-03 21:33:10,486 basehttp "GET /decrees/? HTTP/1.1" 200 57480
INFO 2025-03-03 21:33:10,863 basehttp "GET /decrees/?status=2 HTTP/1.1" 200 33120
INFO 2025-03-03 21:33:11,391 basehttp "GET /decrees/?status=2 HTTP/1.1" 200 33120
INFO 2025-03-03 21:33:11,801 basehttp "GET /decrees/?status=3 HTTP/1.1" 200 35471
INFO 2025-03-03 21:33:12,150 basehttp "GET /decrees/?status=4 HTTP/1.1" 200 30709
INFO 2025-03-03 21:33:12,973 basehttp "GET /decrees/?status=1 HTTP/1.1" 200 50358
INFO 2025-03-03 21:33:13,409 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:33:14,366 basehttp "GET /objections/ HTTP/1.1" 200 37763
INFO 2025-03-03 21:33:14,855 basehttp "GET /objections/?status=1 HTTP/1.1" 200 31174
INFO 2025-03-03 21:33:15,191 basehttp "GET /objections/?status=2 HTTP/1.1" 200 31174
INFO 2025-03-03 21:33:15,540 basehttp "GET /objections/?status=3 HTTP/1.1" 200 31174
INFO 2025-03-03 21:33:16,492 basehttp "GET /formplus/ HTTP/1.1" 200 25095
INFO 2025-03-03 21:33:19,495 basehttp "GET /objections/ HTTP/1.1" 200 37763
INFO 2025-03-03 21:33:20,023 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:33:22,737 basehttp "GET /publications/?keyword=&submit=%D8%A8%D8%AD%D8%AB&number=3&decree_number=&applicant=&owner=&brand=&category__number=&country=&date_applied__year=&date_applied__gte=&date_applied__lte=&status=1 HTTP/1.1" 200 35457
INFO 2025-03-03 21:33:24,382 basehttp "GET /publications/?status=1 HTTP/1.1" 200 35522
INFO 2025-03-03 21:33:25,124 basehttp "GET /decrees/ HTTP/1.1" 200 57480
INFO 2025-03-03 21:33:33,270 basehttp "GET / HTTP/1.1" 200 4586656
INFO 2025-03-03 21:33:34,570 basehttp "GET /publications/ HTTP/1.1" 200 41303
INFO 2025-03-03 21:33:35,345 basehttp "GET /formplus/ HTTP/1.1" 200 25095
INFO 2025-03-03 21:33:37,061 basehttp "GET /objection-pub-pick/ HTTP/1.1" 200 26445
INFO 2025-03-03 21:33:39,047 basehttp "GET /formplus/ HTTP/1.1" 200 25095
INFO 2025-03-03 21:33:41,293 basehttp "GET /objection-pub-pick/ HTTP/1.1" 200 26445
INFO 2025-03-03 21:33:42,165 basehttp "GET /add_objection/2/ HTTP/1.1" 200 35218
INFO 2025-03-03 21:34:35,785 basehttp "GET /decrees/ HTTP/1.1" 200 57475
INFO 2025-03-03 21:34:36,359 basehttp "GET / HTTP/1.1" 200 4586651
INFO 2025-03-03 21:34:37,132 basehttp "GET / HTTP/1.1" 200 4586651
INFO 2025-03-03 21:34:39,307 basehttp "GET /decrees/ HTTP/1.1" 200 57475
INFO 2025-03-03 21:34:39,826 basehttp "GET /publications/ HTTP/1.1" 200 41298
INFO 2025-03-03 21:34:40,306 basehttp "GET /objections/ HTTP/1.1" 200 37758
INFO 2025-03-03 21:34:40,632 basehttp "GET /formplus/ HTTP/1.1" 200 25090
INFO 2025-03-03 21:34:41,196 basehttp "GET /decrees/ HTTP/1.1" 200 57475
INFO 2025-03-03 21:34:41,898 basehttp "GET / HTTP/1.1" 200 4586651
INFO 2025-03-03 21:35:21,369 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:21,429 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:21,431 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:21,432 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:21,523 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2025-03-03 21:35:21,524 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2025-03-03 21:35:21,525 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
INFO 2025-03-03 21:35:21,526 basehttp "GET /static/bootstrap5/bootstrap-icons.woff2 HTTP/1.1" 200 130396
INFO 2025-03-03 21:35:22,042 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:22,143 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
